Name,Red (8 bit),Green (8 bit),Blue (8 bit),Absolute color
Absolute zero,0,72,186,Blue
Acid green,176,191,26,Green
Aero,124,185,232,Blue
Aero blue,201,255,229,Blue
African violet,178,132,190,Violet
Air Force blue (RAF),93,138,168,Blue
Air Force blue (USAF),0,48,143,Blue
Air superiority blue,114,160,193,Blue
Alabama crimson,175,0,42,Red
Alabaster,242,240,230,White
Alice blue,240,248,255,Blue
Alien Armpit,132,222,2,Yellow
Alizarin crimson,227,38,54,Pink
Alloy orange,196,98,16,Yellow
Almond,239,222,205,White
Amaranth,229,43,80,Pink
Amaranth deep purple,159,43,104,Violet
Amaranth pink,241,156,187,Pink
Amaranth purple,171,39,79,Violet
Amaranth red,211,33,45,Red
Amazon,59,122,87,Green
Amazonite,0,196,176,Green
Amber,255,191,0,Yellow
Amber (SAE/ECE),255,126,0,Yellow
American rose,255,3,62,Pink
Amethyst,153,102,204,Violet
Android green,164,198,57,Green
Anti-flash white,242,243,244,White
Antique brass,205,149,117,Gray
Antique bronze,102,93,30,Green
Antique fuchsia,145,92,131,Violet
Antique ruby,132,27,45,Red
Antique white,250,235,215,White
Ao (English),0,128,0,Green
Apple green,141,182,0,Green
Apricot,251,206,177,White
Aqua,0,255,255,Blue
Aquamarine,127,255,212,Blue
Arctic lime,208,255,20,Yellow
Army green,75,83,32,Green
Arsenic,59,68,75,Black
Artichoke,143,151,121,Gray
Arylide yellow,233,214,107,Yellow
Ash grey,178,190,181,Gray
Asparagus,135,169,107,Green
Atomic tangerine,255,153,102,Pink
Auburn,165,42,42,Red
Aureolin,253,238,0,Yellow
AuroMetalSaurus,110,127,128,Gray
Avocado,86,130,3,Green
Awesome,255,32,82,Red
Aztec Gold,195,153,83,Yellow
Azure,0,127,255,Blue
Azure (web color),240,255,255,White
Azure mist,240,255,255,White
Azureish white,219,233,244,White
Baby blue,137,207,240,Blue
Baby blue eyes,161,202,241,Blue
Baby pink,244,194,194,Pink
Baby powder,254,254,250,White
Baker-Miller pink,255,145,175,Pink
Ball blue,33,171,205,Blue
Banana Mania,250,231,181,Yellow
Banana yellow,255,225,53,Yellow
Bangladesh green,0,106,78,Green
Barbie pink,224,33,138,Pink
Barn red,124,10,2,Red
Battery Charged Blue,29,172,214,Blue
Battleship grey,132,132,130,Gray
Bazaar,152,119,123,Violet
Beau blue,188,212,230,Blue
Beaver,159,129,112,Gray
Begonia,250,110,121,Pink
Beige,245,245,220,White
B'dazzled blue,46,88,148,Blue
Big dip o‰Ûªruby,156,37,66,Red
Big Foot Feet,232,142,90,Yellow
Bisque,255,228,196,White
Bistre,61,43,31,Black
Bistre brown,150,113,23,Yellow
Bitter lemon,202,224,13,Green
Bitter lime,191,255,0,Green
Bittersweet,254,111,94,Red
Bittersweet shimmer,191,79,81,Red
Black,0,0,0,Black
Black bean,61,12,2,Black
Black Coral,84,98,111,Black
Black leather jacket,37,53,41,Black
Black olive,59,60,54,Black
Black Shadows,191,175,178,Gray
Blanched almond,255,235,205,Pink
Blast-off bronze,165,113,100,Red
Bleu de France,49,140,231,Blue
Blizzard Blue,172,229,238,Blue
Blond,250,240,190,Yellow
Blue,0,0,255,Blue
Blue (Crayola),31,117,254,Blue
Blue (Munsell),0,147,175,Blue
Blue (NCS),0,135,189,Blue
Blue (Pantone),0,24,168,Blue
Blue (pigment),51,51,153,Blue
Blue (RYB),2,71,254,Blue
Blue Bell,162,162,208,Gray
Blue Bolt,0,185,251,Blue
Blue-gray,102,153,204,Gray
Blue-green,13,152,186,Blue
Blue Jeans,93,173,236,Blue
Blue Lagoon,172,229,238,Blue
Blue-magenta violet,85,53,146,Violet
Blue sapphire,18,97,128,Blue
Blue-violet,138,43,226,Violet
Blue yonder,80,114,167,Blue
Blueberry,79,134,247,Blue
Bluebonnet,28,28,240,Blue
Blush,222,93,131,Pink
Bole,121,68,59,Red
Bondi blue,0,149,182,Blue
Bone,227,218,201,White
Booger Buster,221,226,106,Yellow
Boston University Red,204,0,0,Red
Bottle green,0,106,78,Green
Boysenberry,135,50,96,Violet
Brandeis blue,0,112,255,Blue
Brass,181,166,66,Yellow
Brick red,203,65,84,Red
Bright cerulean,29,172,214,Blue
Bright green,102,255,0,Green
Bright lavender,191,148,228,Violet
Bright lilac,216,145,239,Violet
Bright maroon,195,33,72,Red
Bright navy blue,25,116,210,Blue
Bright pink,255,0,127,Pink
Bright turquoise,8,232,222,Blue
Bright ube,209,159,232,Violet
Bright Yellow (Crayola),255,170,29,Yellow
Brilliant azure,51,153,255,Blue
Brilliant lavender,244,187,255,Violet
Brilliant rose,255,85,163,Pink
Brink pink,251,96,127,Pink
British racing green,0,66,37,Green
Bronze,205,127,50,Yellow
Bronze Yellow,115,112,0,Yellow
Brown (traditional),150,75,0,Yellow
Brown (web),165,42,42,Red
Brown-nose,107,68,35,Yellow
Brown Sugar,175,110,77,Pink
Brown Yellow,204,153,102,Yellow
Brunswick green,27,77,62,Green
Bubble gum,255,193,204,Pink
Bubbles,231,254,255,White
Bud g+A152:D200reen,123,182,97,Green
Buff,240,220,130,Yellow
Bulgarian rose,72,6,7,Red
Burgundy,128,0,32,Red
Burlywood,222,184,135,Yellow
Burnished Brown,161,122,116,Violet
Burnt orange,204,85,0,Red
Burnt sienna,233,116,81,Yellow
Burnt umber,138,51,36,Red
Byzantine,189,51,164,Violet
Byzantium,112,41,99,Violet
Cadet,83,104,114,Gray
Cadet blue,95,158,160,Blue
Cadet grey,145,163,176,Grey
Cadmium green,0,107,60,Green
Cadmium orange,237,135,45,Yellow
Cadmium red,227,0,34,Red
Cadmium yellow,255,246,0,Yellow
CafÃ© au lait,166,123,91,Gray
CafÃ© noir,75,54,33,Black
Cal Poly Pomona green,30,77,43,Green
Cambridge Blue,163,193,173,Blue
Camel,193,154,107,Pink
Cameo pink,239,187,204,Pink
Camouflage green,120,134,107,Green
Canary,255,255,153,Yellow
Canary yellow,255,239,0,Yellow
Candy apple red,255,8,0,Red
Candy pink,228,113,122,Pink
Capri,0,191,255,Blue
Caput mortuum,89,39,32,Red
Cardinal,196,30,58,Pink
Caribbean green,0,204,153,Green
Carmine,150,0,24,Red
Carmine (M&P),215,0,64,Red
Carmine pink,235,76,66,Pink
Carmine red,255,0,56,Red
Carnation pink,255,166,201,Pink
Carnelian,179,27,27,Red
Carolina blue,86,160,211,Blue
Carrot orange,237,145,33,Yellow
Castleton green,0,86,63,Green
Catalina blue,6,42,120,Blue
Catawba,112,54,66,Violet
Cedar Chest,201,90,73,Pink
Ceil,146,161,207,Gray
Celadon,172,225,175,Green
Celadon blue,0,123,167,Blue
Celadon green,47,132,124,Green
Celeste,178,255,255,Blue
Celestial blue,73,151,208,Blue
Cerise,222,49,99,Pink
Cerise pink,236,59,131,Pink
Cerulean,0,123,167,Blue
Cerulean blue,42,82,190,Blue
Cerulean frost,109,155,195,Blue
CG Blue,0,122,165,Blue
CG Red,224,60,49,Red
Chamoisee,160,120,90,Gray
Champagne,247,231,206,Pink
Champagne pink,241,221,207,Pink
Charcoal,54,69,79,Gray
Charleston green,35,43,43,Gray
Charm pink,230,143,172,Pink
Chartreuse (traditional),223,255,0,Yellow
Chartreuse (web),127,255,0,Green
Cherry,222,49,99,Pink
Cherry blossom pink,255,183,197,Pink
Chestnut,149,69,53,Red
China pink,222,111,161,Pink
China rose,168,81,110,Pink
Chinese red,170,56,30,Red
Chinese violet,133,96,136,Violet
Chlorophyll green,74,255,0,Green
Chocolate (traditional),123,63,0,Red
Chocolate (web),210,105,30,Red
Chrome yellow,255,167,0,Yellow
Cinereous,152,129,123,Gray
Cinnabar,227,66,52,Red
Cinnamon[citation needed],210,105,30,Yellow
Cinnamon Satin,205,96,126,Viotet
Citrine,228,208,10,Yellow
Citron,158,169,31,Green
Claret,127,23,52,Violet
Classic rose,251,204,231,Pink
Cobalt Blue,0,71,171,Blue
Cocoa brown,210,105,30,Yellow
Coconut,150,90,62,Red
Coffee,111,78,55,Gray
Columbia Blue,196,216,226,Blue
Congo pink,248,131,121,Pink
Cool Black,0,46,99,Black
Cool grey,140,146,172,Grey
Copper,184,115,51,Gray
Copper (Crayola),218,138,103,Pink
Copper penny,173,111,105,Violet
Copper red,203,109,81,Red
Copper rose,153,102,102,Pink
Coquelicot,255,56,0,Red
Coral,255,127,80,Pink
Coral pink,248,131,121,Pink
Coral red,255,64,64,Red
Coral Reef,253,124,110,Pink
Cordovan,137,63,69,Violet
Corn,251,236,93,Yellow
Cornell Red,179,27,27,Red
Cornflower blue,100,149,237,Blue
Cornsilk,255,248,220,White
Cosmic Cobalt,46,45,136,Blue
Cosmic latte,255,248,231,White
Coyote brown,129,97,60,Gray
Cotton candy,255,188,217,Pink
Cream,255,253,208,White
Crimson,220,20,60,Red
Crimson glory,190,0,50,Red
Crimson red,153,0,0,Red
Cultured,245,245,245,White
Cyan,0,255,255,Blue
Cyan azure,78,130,180,Blue
Cyan-blue azure,70,130,191,Blue
Cyan cobalt blue,40,88,156,Blue
Cyan cornflower blue,24,139,194,Blue
Cyan (process),0,183,235,Blue
Cyber grape,88,66,124,Violet
Cyber yellow,255,211,0,Yellow
Cyclamen,245,111,161,Pink
Daffodil,255,255,49,Yellow
Dandelion,240,225,48,Yellow
Dark blue,0,0,139,Blue
Dark blue-gray,102,102,153,Blue
Dark brown,101,67,33,Black
Dark brown-tangelo,136,101,78,Gray
Dark byzantium,93,57,84,Violet
Dark candy apple red,164,0,0,Red
Dark cerulean,8,69,126,Blue
Dark chestnut,152,105,96,Violet
Dark coral,205,91,69,Red
Dark cyan,0,139,139,Blue
Dark electric blue,83,104,120,Blue
Dark goldenrod,184,134,11,Yellow
Dark gray (X11),169,169,169,Gray
Dark green,1,50,32,Green
Dark green (X11),0,100,0,Green
Dark gunmetal,31,38,42,Black
Dark imperial blue,0,65,106,Blue
Dark imperial blue,0,20,126,Blue
Dark jungle green,26,36,33,Green
Dark khaki,189,183,107,White
Dark lava,72,60,50,Black
